Middle Age(30~44),Senior Adult(45~64),Senior Citizens(65+),Young Adult(18~29)
"{'Feature1': 'HighChol', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.02055387984117013, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.021377889935901173, 'Difference': -0.0008240100947310425}","{'Feature1': 'HighChol', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03526705989148271, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.036229822435881465, 'Difference': -0.0009627625443987542}","{'Feature1': 'HighChol', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.02072590180157019, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.020862869928175876, 'Difference': -0.00013696812660568547}","{'Feature1': 'HighChol', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.00734737785071457, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.007296855684018944, 'Difference': 5.0522166695626813e-05}"
"{'Feature1': 'HighChol', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.050150880381789775, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.05744808309776073, 'Difference': -0.007297202715970952}","{'Feature1': 'HighChol', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.10287932686224266, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.11683533006033597, 'Difference': -0.013956003198093314}","{'Feature1': 'HighChol', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.0857305476502297, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.09175225974486523, 'Difference': -0.006021712094635534}","{'Feature1': 'HighChol', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.019068889444971066, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.019269461570617097, 'Difference': -0.00020057212564603133}"
"{'Feature1': 'HighChol', 'Feature2': 'MentHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.026044484219623854, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.026152622118307822, 'Difference': -0.00010813789868396873}","{'Feature1': 'HighChol', 'Feature2': 'MentHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.042612679201343595, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04512202593669423, 'Difference': -0.002509346735350637}","{'Feature1': 'HighChol', 'Feature2': 'MentHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.02554186810789716, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.025221728463755255, 'Difference': 0.00032013964414190355}","{'Feature1': 'HighChol', 'Feature2': 'MentHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01388565163631636, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.011796619299066669, 'Difference': 0.002089032337249691}"
"{'Feature1': 'HighChol', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03464260027889016, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03585658685275883, 'Difference': -0.001213986573868675}","{'Feature1': 'HighChol', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.06172012265233329, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.06735953795326455, 'Difference': -0.005639415300931261}","{'Feature1': 'HighChol', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.042466372530065355, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.043527844546623395, 'Difference': -0.0010614720165580405}","{'Feature1': 'HighChol', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0194737005847285, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01704539024999835, 'Difference': 0.0024283103347301493}"
"{'Feature1': 'HighChol', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.029421670889006768, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03226730433468694, 'Difference': -0.0028456334456801735}","{'Feature1': 'HighChol', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.06513295377895989, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.07166713332933217, 'Difference': -0.006534179550372277}","{'Feature1': 'HighChol', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.045529932178353105, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.047367240830749724, 'Difference': -0.0018373086523966187}","{'Feature1': 'HighChol', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.008710226169328789, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.009021256454280951, 'Difference': -0.0003110302849521629}"
"{'Feature1': 'HighChol', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.017057555557656368, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01662153046043413, 'Difference': 0.0004360250972222368}","{'Feature1': 'HighChol', 'Feature2': 'Sex', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03325776711577755, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03347978401637042, 'Difference': -0.0002220169005928696}","{'Feature1': 'HighChol', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.029405903218741924, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.029062092324342537, 'Difference': 0.00034381089439938783}","{'Feature1': 'HighChol', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.006396499110118609, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006169744377084341, 'Difference': 0.00022675473303426785}"
"{'Feature1': 'HighChol', 'Feature2': 'Education', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.023505464951070365, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.024227301487695807, 'Difference': -0.000721836536625442}","{'Feature1': 'HighChol', 'Feature2': 'Education', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.043853469987480076, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04603826814319345, 'Difference': -0.0021847981557133744}","{'Feature1': 'HighChol', 'Feature2': 'Education', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.028052739029249762, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.02798656323616644, 'Difference': 6.617579308332289e-05}","{'Feature1': 'HighChol', 'Feature2': 'Education', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.00930058611125159, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.008244837332739563, 'Difference': 0.0010557487785120279}"
"{'Feature1': 'HighChol', 'Feature2': 'Income', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03192447290738237, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03289543040198051, 'Difference': -0.0009709574945981347}","{'Feature1': 'HighChol', 'Feature2': 'Income', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.06069408184654923, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.06471463834446589, 'Difference': -0.004020556497916661}","{'Feature1': 'HighChol', 'Feature2': 'Income', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.03258690292832944, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.032301082929734104, 'Difference': 0.000285819998595338}","{'Feature1': 'HighChol', 'Feature2': 'Income', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.011580950105424676, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.010163334495241039, 'Difference': 0.0014176156101836368}"
"{'Feature1': 'CholCheck', 'Feature2': 'BMI', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.028551356167263175, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.02672569756380566, 'Difference': 0.001825658603457514}","{'Feature1': 'CholCheck', 'Feature2': 'BMI', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.045992229983154664, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04581079597583959, 'Difference': 0.0001814340073150733}","{'Feature1': 'CholCheck', 'Feature2': 'BMI', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.04201560990100117, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04132756571600149, 'Difference': 0.000688044184999681}","{'Feature1': 'CholCheck', 'Feature2': 'BMI', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01587096819155917, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01451098706539622, 'Difference': 0.0013599811261629513}"
"{'Feature1': 'CholCheck', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.004416561700367472, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.004198513321677255, 'Difference': 0.00021804837869021654}","{'Feature1': 'CholCheck', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.012315050437182062, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.012096716038591526, 'Difference': 0.00021833439859053616}","{'Feature1': 'CholCheck', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.00745486354561109, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.007401765713048736, 'Difference': 5.309783256235434e-05}","{'Feature1': 'CholCheck', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.002268128966440436, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.002132031574950788, 'Difference': 0.00013609739148964795}"
"{'Feature1': 'CholCheck', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.004923670581554018, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.004833379891847511, 'Difference': 9.0290689706507e-05}","{'Feature1': 'CholCheck', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.013075288902777094, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01285996448917004, 'Difference': 0.00021532441360705423}","{'Feature1': 'CholCheck', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.012192467030189391, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.012016371291212247, 'Difference': 0.00017609573897714448}","{'Feature1': 'CholCheck', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0016528116227178813, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0015834210349144895, 'Difference': 6.93905878033918e-05}"
"{'Feature1': 'CholCheck', 'Feature2': 'Fruits', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0028652895624893815, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.002779391987558222, 'Difference': 8.589757493115968e-05}","{'Feature1': 'CholCheck', 'Feature2': 'Fruits', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.006456155813703401, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006305663061324296, 'Difference': 0.00015049275237910553}","{'Feature1': 'CholCheck', 'Feature2': 'Fruits', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.004483277778152717, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.004406259960369141, 'Difference': 7.701781778357564e-05}","{'Feature1': 'CholCheck', 'Feature2': 'Fruits', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0010571523543231043, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0009529198024766927, 'Difference': 0.00010423255184641156}"
"{'Feature1': 'CholCheck', 'Feature2': 'Veggies', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.002896014764370347, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.002843442027166021, 'Difference': 5.257273720432609e-05}","{'Feature1': 'CholCheck', 'Feature2': 'Veggies', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.007425007360808977, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0072959801002614455, 'Difference': 0.00012902726054753177}","{'Feature1': 'CholCheck', 'Feature2': 'Veggies', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.00514567171643443, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005064068595305393, 'Difference': 8.160312112903689e-05}","{'Feature1': 'CholCheck', 'Feature2': 'Veggies', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0016399356834154444, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0014448604408920929, 'Difference': 0.0001950752425233515}"
"{'Feature1': 'CholCheck', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0017703024597954808, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0017340871342794162, 'Difference': 3.6215325516064656e-05}","{'Feature1': 'CholCheck', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.005936478819433932, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005966123421299874, 'Difference': -2.964460186594131e-05}","{'Feature1': 'CholCheck', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.005305507278779542, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.00534263129321122, 'Difference': -3.7124014431677566e-05}","{'Feature1': 'CholCheck', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0009814538910259685, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0008301996711263526, 'Difference': 0.00015125421989961585}"
"{'Feature1': 'CholCheck', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0024605601441179403, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.002233606015386247, 'Difference': 0.0002269541287316934}","{'Feature1': 'CholCheck', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.004472606362524556, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0041043864963918875, 'Difference': 0.00036821986613266855}","{'Feature1': 'CholCheck', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0026065183394026192, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0025424947834744582, 'Difference': 6.4023555928161e-05}","{'Feature1': 'CholCheck', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0012508561684712871, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0010975155445704377, 'Difference': 0.00015334062390084946}"
"{'Feature1': 'CholCheck', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.007377744169218936, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006877889628875533, 'Difference': 0.0004998545403434029}","{'Feature1': 'CholCheck', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.010171862052318792, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.00952322655637139, 'Difference': 0.0006486354959474028}","{'Feature1': 'CholCheck', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.004910892805567002, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.004806726059870314, 'Difference': 0.00010416674569668771}","{'Feature1': 'CholCheck', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.002804547108686578, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0026659033886731742, 'Difference': 0.00013864372001340386}"
"{'Feature1': 'CholCheck', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.0428393035330949, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04294808279073509, 'Difference': -0.00010877925764019025}","{'Feature1': 'CholCheck', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.08946822825484102, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0901287341808259, 'Difference': -0.0006605059259848778}","{'Feature1': 'CholCheck', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.07524389081453764, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.07569611587655967, 'Difference': -0.00045222506202202695}","{'Feature1': 'CholCheck', 'Feature2': 'GenHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01496791787155713, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.014638509275271328, 'Difference': 0.00032940859628580177}"
"{'Feature1': 'CholCheck', 'Feature2': 'MentHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.012504945201120943, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.011652621811282182, 'Difference': 0.0008523233898387605}","{'Feature1': 'CholCheck', 'Feature2': 'MentHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01912914907835528, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.018415430057184157, 'Difference': 0.000713719021171122}","{'Feature1': 'CholCheck', 'Feature2': 'MentHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.009767098718011402, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.009165584595449694, 'Difference': 0.0006015141225617082}","{'Feature1': 'CholCheck', 'Feature2': 'MentHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.008112700528263711, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.007165667003720899, 'Difference': 0.0009470335245428119}"
"{'Feature1': 'CholCheck', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.021994617043439912, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.02135658654573319, 'Difference': 0.0006380304977067208}","{'Feature1': 'CholCheck', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.04081918156071895, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04065294207375447, 'Difference': 0.0001662394869644812}","{'Feature1': 'CholCheck', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.02782750916256549, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.027471700678317834, 'Difference': 0.000355808484247655}","{'Feature1': 'CholCheck', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01334687890628114, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01241443795465258, 'Difference': 0.0009324409516285603}"
"{'Feature1': 'CholCheck', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.017669453756418874, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0177673040276613, 'Difference': -9.785027124242784e-05}","{'Feature1': 'CholCheck', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.0444375990379936, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04496053744982209, 'Difference': -0.0005229384118284885}","{'Feature1': 'CholCheck', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03112042918297875, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03131109696244416, 'Difference': -0.00019066777946541436}","{'Feature1': 'CholCheck', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.004457306291593327, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.004390304158935182, 'Difference': 6.700213265814492e-05}"
"{'Feature1': 'CholCheck', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0021652375160921555, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0021215301534084907, 'Difference': 4.370736268366482e-05}","{'Feature1': 'CholCheck', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.006984020000948332, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006773188136860342, 'Difference': 0.00021083186408799026}","{'Feature1': 'CholCheck', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.013088239431344961, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.013005948456036975, 'Difference': 8.22909753079859e-05}","{'Feature1': 'CholCheck', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.001803889566266842, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0015387920817385714, 'Difference': 0.00026509748452827053}"
"{'Feature1': 'CholCheck', 'Feature2': 'Education', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.010204357034447609, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.009727301180670167, 'Difference': 0.00047705585377744164}","{'Feature1': 'CholCheck', 'Feature2': 'Education', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.019756743207707594, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.019331672263683375, 'Difference': 0.0004250709440242195}","{'Feature1': 'CholCheck', 'Feature2': 'Education', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0120873009472231, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.011930419367860878, 'Difference': 0.00015688157936222247}","{'Feature1': 'CholCheck', 'Feature2': 'Education', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.004001511486549453, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0036138850373937936, 'Difference': 0.00038762644915565914}"
"{'Feature1': 'CholCheck', 'Feature2': 'Income', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.019137545512496412, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.018395430094954868, 'Difference': 0.0007421154175415445}","{'Feature1': 'CholCheck', 'Feature2': 'Income', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.03923688471949027, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.038008042464955816, 'Difference': 0.0012288422545344568}","{'Feature1': 'CholCheck', 'Feature2': 'Income', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.016765896048281492, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.016244939061428543, 'Difference': 0.0005209569868529496}","{'Feature1': 'CholCheck', 'Feature2': 'Income', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0061733613057752545, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005532382199895269, 'Difference': 0.0006409791058799852}"
"{'Feature1': 'BMI', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.03111554088772389, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.027645394584382088, 'Difference': 0.0034701463033418034}","{'Feature1': 'BMI', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.052367339058057794, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.05025871570923035, 'Difference': 0.002108623348827443}","{'Feature1': 'BMI', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.04600114054734994, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.043905676191267506, 'Difference': 0.0020954643560824326}","{'Feature1': 'BMI', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.02006187425212122, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.015498078804642768, 'Difference': 0.0045637954474784526}"
"{'Feature1': 'BMI', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.03073237656132094, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.028280261154552344, 'Difference': 0.0024521154067685957}","{'Feature1': 'BMI', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.048736928626289866, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.051021964159808864, 'Difference': -0.0022850355335189976}","{'Feature1': 'BMI', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.04680443092382203, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04852028176943102, 'Difference': -0.0017158508456089905}","{'Feature1': 'BMI', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01943396128120886, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01494946826460647, 'Difference': 0.004484493016602392}"
